TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/7/11 20:50,Dataset 1,10/7/11 20:50,8.08,0.128713,0.184054183,7.895805591,7.805154615,1.011614245,0.011614245,8.08,8,0.13,918.36,918.36,8.173843098,951.39,932.9790026,965.8143752
10/7/11 21:00,Dataset 1,10/7/11 21:00,7.53,0.130146,0.218511514,7.3205122,7.221293812,1.013739697,0.013739697,7.53,8,0.13,747.53,747.53,7.633459917,777.63,761.7723679,792.3140394
10/7/11 21:10,Dataset 1,10/7/11 21:10,8.51,0.12691,0.242860359,8.160846325,8.180760409,0.997565742,-0.002434258,8.51,9,0.13,1076.17,1076.17,8.489284462,1068.83,1087.575744,1080.443742
10/7/11 21:20,Dataset 1,10/7/11 21:20,9.09,0.137514,0.242827497,9.104463969,9.06934485,1.003872288,0.003872288,9.09,9,0.13,1290.29,1290.29,9.125199102,1305.53,1289.852824,1303.733452
10/7/11 21:30,Dataset 1,10/7/11 21:30,9.61,0.134235,0.266291603,9.085985005,9.0449222,1.004539874,0.004539874,9.61,10,0.13,1488.41,1488.41,9.653628187,1503.65,1467.205705,1480.510729
10/7/11 21:40,Dataset 1,10/7/11 21:40,9.62,0.090437,0.155396805,9.488628196,9.336695142,1.01627268,0.01627268,9.62,10,0.09,1492.22,1492.22,9.776543183,1553.18,1496.981526,1560.08733
10/7/11 21:50,Dataset 1,10/7/11 21:50,9.41,0.126461,0.284448903,9.110767352,8.976680857,1.014937202,0.014937202,9.41,9,0.13,1412.21,1412.21,9.55055907,1465.55,1403.148176,1451.728593
10/7/11 22:00,Dataset 1,10/7/11 22:00,9.98,0.087174,0.259462108,9.828077106,9.843503861,0.998432798,-0.001567202,9.98,10,0.09,1629.38,1629.38,9.964359328,1621.76,1642.260532,1634.375006
10/7/11 22:10,Dataset 1,10/7/11 22:10,10.01,0.080919,0.203828858,9.954330285,9.994986152,0.995932374,-0.004067626,10.01,10,0.09,1639.67,1639.67,9.969283062,1625.57,1659.257334,1644.064167
10/7/11 22:20,Dataset 1,10/7/11 22:20,10.01,0.073926,0.265816456,9.722162756,9.700543087,1.002228707,0.002228707,10.01,10,0.07,1639.67,1639.67,10.03230936,1645.01,1665.796022,1672.006056
10/7/11 22:30,Dataset 1,10/7/11 22:30,9.75,0.082051,0.255532744,9.637218278,9.576432305,1.006347455,0.006347455,9.75,10,0.09,1541.75,1541.75,9.811887686,1564.61,1553.443724,1577.910189
